"Title","ID","Created Date","Updated Date","Owner","universityCode","universityShortName","location"
"MDIS Malaysia International College","1dfaaabf-f573-41c8-99fb-b75e0214577c",2026-04-16T06:40:19Z,2026-04-16T06:40:19Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS","MDIS","Iskandar Puteri, Johor, Malaysia"
"University of Southampton Malaysia","205077d6-bb14-42a0-9f10-4df36357e0cd",2026-04-16T06:40:19Z,2026-04-16T06:40:19Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM","UoSM","Iskandar Puteri, Johor, Malaysia"
"University of Reading Malaysia","aaa7c329-3d08-49db-bb62-167fd1886ad5",2026-04-16T06:40:19Z,2026-04-16T06:40:19Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM","UoRM","Iskandar Puteri, Johor, Malaysia"
"Universiti Sains Malaysia","c2fc738c-6b69-41d9-b126-fbb5bcdefaf1",2026-04-16T06:40:19Z,2026-04-16T06:40:19Z,"a0b69dfb-18af-4851-9408-58a5754755fc","USM","USM","Penang, Malaysia"
"Newcastle University Medicine Malaysia","dfad4d44-8a6d-4530-942b-13daf21e98f1",2026-04-16T06:40:19Z,2026-04-16T06:40:19Z,"a0b69dfb-18af-4851-9408-58a5754755fc","NUMED","NUMed Malaysia","Iskandar Puteri, Johor, Malaysia"
